电影名称,电影评分,评分人数,一句话描述,豆瓣链接
肖申克的救赎,9.6,1114618,希望让人自由。,https://movie.douban.com/subject/1292052/
霸王别姬,9.5,813019,风华绝代。,https://movie.douban.com/subject/1291546/
这个杀手不太冷,9.4,1033089,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
阿甘正传,9.4,880878,一部美国近现代史。,https://movie.douban.com/subject/1292720/
美丽人生,9.5,514167,最美的谎言。,https://movie.douban.com/subject/1292063/
泰坦尼克号,9.3,819099,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
千与千寻,9.3,820127,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
辛德勒的名单,9.4,465151,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
盗梦空间,9.3,908247,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
机器人总动员,9.3,598398,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
忠犬八公的故事,9.3,576314,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
三傻大闹宝莱坞,9.2,816200,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
海上钢琴师,9.2,689362,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
放牛班的春天,9.2,553297,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲,9.2,607721,一生所爱。,https://movie.douban.com/subject/1292213/
楚门的世界,9.1,582852,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
教父,9.2,411213,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
龙猫,9.1,506003,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
星际穿越,9.2,605241,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
熔炉,9.2,336843,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
无间道,9.1,494316,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
触不可及,9.2,441640,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
乱世佳人,9.2,316373,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
当幸福来敲门,9.0,651417,平民励志片。 ,https://movie.douban.com/subject/1849031/
怦然心动,8.9,693296,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
天堂电影院,9.1,351931,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
